"screen_time_hours","social_media_platforms_used","hours_on_TikTok","sleep_hours","stress_level","mood_score","social_media_category","screen_time_category","sleep_quality","digital_intensity","mental_health_indicator","digital_habits_score","mental_health_score"
3.8,5,1.4,8.9,4,10,"High","Low","Good",0,0,0.485,16
4.9,5,2.8,8.4,5,10,"High","Medium","Good",0,0,0.58,15
10.6,3,5.9,8.8,8,9,"Medium","High","Good",0,1,0.779166666666667,11
8.8,5,3.6,9.3,5,10,"High","High","Good",1,0,0.743333333333333,15
5.3,5,2.6,9.1,4,10,"High","Medium","Good",0,0,0.585,16
7.8,1,3.6,8,7,10,"Low","Medium","Good",0,0,0.47,13
4.9,2,1.2,9.1,2,10,"Low","Medium","Good",0,0,0.333333333333333,18
6.8,4,3.8,8.1,7,7,"High","Medium","Good",1,0,0.625,10
10.6,2,4.8,8.4,10,9,"Low","High","Good",0,1,0.673333333333333,9
4.2,4,1.8,8.6,5,10,"High","Medium","Good",0,0,0.455,15
3.9,5,1.3,8.4,2,10,"High","Low","Good",0,0,0.484166666666667,18
6.3,5,3.1,10,3,10,"High","Medium","Good",1,0,0.639166666666667,17
2.6,4,1.1,8.2,3,10,"High","Low","Good",0,0,0.3725,17
5.7,4,2.1,8.1,4,9,"High","Medium","Good",0,0,0.5175,15
4,3,2.2,9.9,2,10,"Medium","Medium","Good",0,0,0.405,18
7.7,4,3.6,8.4,6,10,"High","Medium","Good",1,0,0.646666666666667,14
10,2,2.7,8.1,6,10,"Low","High","Good",0,0,0.565833333333333,14
5.7,1,2,8.9,3,10,"Low","Medium","Good",0,0,0.333333333333333,17
3.6,3,1.4,8.6,4,10,"Medium","Low","Good",0,0,0.358333333333333,16
8.5,4,1.8,8.7,6,10,"High","High","Good",1,0,0.598333333333333,14
6.4,3,3.6,8,4,9,"Medium","Medium","Good",0,0,0.543333333333333,15
7.2,4,1.9,8.9,5,10,"High","Medium","Good",1,0,0.559166666666667,15
4.9,4,2.4,10,3,10,"High","Medium","Good",0,0,0.503333333333333,17
5,4,1.1,8,3,10,"High","Medium","Good",0,0,0.4525,17
6.9,5,2.1,10,1,10,"High","Medium","Good",1,0,0.6175,19
8.5,3,3.3,8.7,6,9,"Medium","High","Good",0,0,0.600833333333333,13
7.2,3,1.9,9.3,2,10,"Medium","Medium","Good",0,0,0.499166666666667,18
7.3,5,3.3,9.6,5,10,"High","Medium","Good",1,0,0.680833333333333,15
