"screen_time_hours","social_media_platforms_used","hours_on_TikTok","sleep_hours","stress_level","mood_score","social_media_category","screen_time_category","sleep_quality","digital_intensity","mental_health_indicator","digital_habits_score","mental_health_score"
10.3,2,5.3,4.4,10,5,"Low","High","Poor",0,1,0.684166666666667,5
6.5,5,3.5,6.2,8,8,"High","Medium","Adequate",1,1,0.6625,10
9.1,4,2.8,6.6,7,8,"High","High","Adequate",1,0,0.66,11
10.6,3,5.9,8.8,8,9,"Medium","High","Good",0,1,0.779166666666667,11
8.2,5,2.3,6.2,8,8,"High","High","Adequate",1,1,0.669166666666667,10
8.8,5,3.6,9.3,5,10,"High","High","Good",1,0,0.743333333333333,15
11.5,4,5.6,6.7,9,7,"High","High","Adequate",1,1,0.856666666666667,8
8.7,5,4.7,7.8,7,9,"High","High","Adequate",1,0,0.785833333333333,12
6.8,5,3,6.6,7,9,"High","Medium","Adequate",1,0,0.651666666666667,12
6.8,4,3.8,8.1,7,7,"High","Medium","Good",1,0,0.625,10
10.6,2,4.8,8.4,10,9,"Low","High","Good",0,1,0.673333333333333,9
10.6,1,5,6.8,10,6,"Low","High","Adequate",0,1,0.621666666666667,6
8.1,5,3.1,5.6,9,8,"High","High","Poor",1,1,0.699166666666667,9
7.9,4,4.3,6.2,8,7,"High","Medium","Adequate",1,1,0.6825,9
7,5,1.7,6.2,7,9,"High","Medium","Adequate",1,0,0.604166666666667,12
8.3,4,3.1,7.3,7,9,"High","High","Adequate",1,0,0.645833333333333,12
6.3,5,3.1,10,3,10,"High","Medium","Good",1,0,0.639166666666667,17
5.8,5,3.1,7.8,5,9,"High","Medium","Adequate",0,0,0.6225,14
8.5,5,4.5,6.7,9,8,"High","High","Adequate",1,1,0.770833333333333,9
11.3,3,3.6,4.3,10,5,"Medium","High","Poor",0,1,0.706666666666667,5
9.6,5,5.4,7.6,9,7,"High","High","Adequate",1,1,0.845,8
7.7,4,3.6,8.4,6,10,"High","Medium","Good",1,0,0.646666666666667,14
8.3,2,5,5.6,10,5,"Low","High","Poor",0,1,0.605,5
7.8,4,4.5,7,6,8,"High","Medium","Adequate",1,0,0.6875,12
9.5,5,4.4,4.5,10,6,"High","High","Poor",1,1,0.8,6
8,5,3.4,6.9,7,10,"High","High","Adequate",1,0,0.708333333333333,13
6.1,5,2.6,3.1,9,6,"High","Medium","Poor",1,1,0.611666666666667,7
6,5,3.5,4.4,10,5,"High","Medium","Poor",0,1,0.645833333333333,5
10.3,2,6.1,3.8,10,5,"Low","High","Poor",0,1,0.7175,5
10.9,2,5.6,4.9,10,3,"Low","High","Poor",0,1,0.716666666666667,3
7.4,4,3.7,7.9,6,10,"High","Medium","Adequate",1,0,0.640833333333333,14
6.9,5,2.1,10,1,10,"High","Medium","Good",1,0,0.6175,19
8.5,3,3.3,8.7,6,9,"Medium","High","Good",0,0,0.600833333333333,13
9.2,5,4.5,6.4,9,10,"High","High","Adequate",1,1,0.794166666666667,11
7.6,4,3.9,6.9,9,9,"High","Medium","Adequate",1,1,0.655833333333333,10
7.2,5,1.6,4.7,10,9,"High","Medium","Poor",1,1,0.606666666666667,9
7.3,5,3.3,9.6,5,10,"High","Medium","Good",1,0,0.680833333333333,15
9.8,4,2,7.1,7,9,"High","High","Adequate",1,0,0.65,12
7.8,5,3.9,6.4,8,7,"High","Medium","Adequate",1,1,0.7225,9
8.6,5,3.8,6.9,6,9,"High","High","Adequate",1,0,0.745,13
9,3,4.4,10,5,10,"Medium","High","Good",0,0,0.663333333333333,15
7.9,3,4.5,4.5,10,6,"Medium","Medium","Poor",0,1,0.630833333333333,6
7.5,5,4.1,6.7,8,8,"High","Medium","Adequate",1,1,0.720833333333333,10
6.6,5,3.4,6.3,9,10,"High","Medium","Adequate",1,1,0.661666666666667,11
10.7,4,4,6.2,9,5,"High","High","Adequate",1,1,0.763333333333333,6
6.4,5,2.2,7.1,6,10,"High","Medium","Adequate",1,0,0.605,14
7.7,3,4,6,9,9,"Medium","Medium","Adequate",0,1,0.603333333333333,10
7.5,4,3.6,8.3,6,10,"High","Medium","Good",1,0,0.64,14
9.1,4,4.1,7.9,7,7,"High","High","Adequate",1,0,0.714166666666667,10
8.1,5,2.9,7.5,7,9,"High","High","Adequate",1,0,0.690833333333333,12
8.4,4,4.7,7.5,7,7,"High","High","Adequate",1,0,0.715833333333333,10
8.3,4,4.8,7,9,10,"High","High","Adequate",1,1,0.716666666666667,11
7.2,5,2.4,6.9,5,10,"High","Medium","Adequate",1,0,0.64,15
7.6,5,2.6,9.1,4,10,"High","Medium","Good",1,0,0.661666666666667,16
9.8,3,4,7.4,10,7,"Medium","High","Adequate",0,1,0.673333333333333,7
8.5,4,2.1,8,8,10,"High","High","Good",1,1,0.610833333333333,12
5.5,5,3.1,7.4,5,9,"High","Medium","Adequate",0,0,0.6125,14
8,4,4,9.9,4,10,"High","High","Good",1,0,0.673333333333333,16
6.8,4,3.5,10,3,10,"High","Medium","Good",1,0,0.6125,17
8.5,5,3.5,6,7,9,"High","High","Adequate",1,0,0.729166666666667,12
8,4,3.8,3.7,9,5,"High","High","Poor",1,1,0.665,6
8.9,4,2.8,9.5,5,10,"High","High","Good",1,0,0.653333333333333,15
6.9,5,3.4,6.8,9,9,"High","Medium","Adequate",1,1,0.671666666666667,10
8.2,5,3.5,5.6,7,6,"High","High","Poor",1,0,0.719166666666667,9
5.7,5,3.3,3.4,10,6,"High","Medium","Poor",0,1,0.6275,6
7.9,4,3.4,6.7,8,8,"High","Medium","Adequate",1,1,0.645,10
8.6,5,3.9,7.8,8,9,"High","High","Adequate",1,1,0.749166666666667,11
8.2,5,2.4,6.6,9,10,"High","High","Adequate",1,1,0.673333333333333,11
6.1,5,2.6,7.8,6,10,"High","Medium","Adequate",1,0,0.611666666666667,14
8.2,5,4.8,7.6,10,8,"High","High","Adequate",1,1,0.773333333333333,8
7.4,5,2.6,9.1,4,10,"High","Medium","Good",1,0,0.655,16
7.7,4,3.8,6.9,10,9,"High","Medium","Adequate",1,1,0.655,9
7.4,4,4.1,6.8,8,9,"High","Medium","Adequate",1,1,0.6575,11
8.8,3,3.9,5.2,10,7,"Medium","High","Poor",0,1,0.635833333333333,7
7.1,5,2.3,8,7,10,"High","Medium","Good",1,0,0.6325,13
7.2,5,3,6.1,9,8,"High","Medium","Adequate",1,1,0.665,9
7.8,4,3.9,5.8,9,8,"High","Medium","Poor",1,1,0.6625,9
8.4,3,4.5,7.3,8,10,"Medium","High","Adequate",0,1,0.6475,12
8.6,5,3.2,8.2,6,10,"High","High","Good",1,0,0.72,14
7.2,5,4,8.3,7,10,"High","Medium","Good",1,0,0.706666666666667,13
8.8,3,4.5,6.8,9,8,"Medium","High","Adequate",0,1,0.660833333333333,9
6.4,5,3.3,6.4,6,8,"High","Medium","Adequate",1,0,0.650833333333333,12
7.9,3,4,7,9,10,"Medium","Medium","Adequate",0,1,0.61,11
8.3,4,3.8,6.7,6,10,"High","High","Adequate",1,0,0.675,14
8.3,4,4.4,8.3,7,9,"High","High","Good",1,0,0.7,12
8.4,4,4.1,6.6,8,10,"High","High","Adequate",1,1,0.690833333333333,12
8.1,3,4.7,6.9,9,10,"Medium","High","Adequate",0,1,0.645833333333333,11
9.3,2,5.6,4.6,10,5,"Low","High","Poor",0,1,0.663333333333333,5
7.3,4,4.1,7.5,7,10,"High","Medium","Adequate",1,0,0.654166666666667,13
6.3,5,3.1,8.7,3,10,"High","Medium","Good",1,0,0.639166666666667,17
6.6,5,3.8,6.4,8,9,"High","Medium","Adequate",1,1,0.678333333333333,11
9.2,4,3.1,6.4,8,8,"High","High","Adequate",1,1,0.675833333333333,10
9.4,5,4.1,8.9,5,10,"High","High","Good",1,0,0.784166666666667,15
8,4,3.2,4.3,9,7,"High","High","Poor",1,1,0.64,8
7.3,4,3.7,6.6,9,8,"High","Medium","Adequate",1,1,0.6375,9
7.2,5,1.9,4.4,8,8,"High","Medium","Poor",1,1,0.619166666666667,10
7.2,4,4.2,5.5,10,7,"High","Medium","Poor",1,1,0.655,7
9.2,4,1.8,10,5,10,"High","High","Good",1,0,0.621666666666667,15
8,5,3,4.5,9,7,"High","High","Poor",1,1,0.691666666666667,8
7.6,4,4,5.4,10,10,"High","Medium","Poor",1,1,0.66,10
9,4,3.1,6.6,9,7,"High","High","Adequate",1,1,0.669166666666667,8
