"screen_time_hours","social_media_platforms_used","hours_on_TikTok","sleep_hours","stress_level","mood_score","social_media_category","screen_time_category","sleep_quality","digital_intensity","mental_health_indicator","digital_habits_score","mental_health_score"
6.5,5,3.5,6.2,8,8,"High","Medium","Adequate",1,1,0.6625,10
9.1,4,2.8,6.6,7,8,"High","High","Adequate",1,0,0.66,11
6.4,4,2.9,5.4,7,7,"High","Medium","Poor",1,0,0.574166666666667,10
8.2,5,2.3,6.2,8,8,"High","High","Adequate",1,1,0.669166666666667,10
8.8,5,3.6,9.3,5,10,"High","High","Good",1,0,0.743333333333333,15
6.4,4,1.4,6.6,5,8,"High","Medium","Adequate",1,0,0.511666666666667,13
11.5,4,5.6,6.7,9,7,"High","High","Adequate",1,1,0.856666666666667,8
8.7,5,4.7,7.8,7,9,"High","High","Adequate",1,0,0.785833333333333,12
6.8,5,3,6.6,7,9,"High","Medium","Adequate",1,0,0.651666666666667,12
6.8,4,3.8,8.1,7,7,"High","Medium","Good",1,0,0.625,10
6.4,4,1.9,6.3,8,10,"High","Medium","Adequate",1,1,0.5325,12
8.1,5,3.1,5.6,9,8,"High","High","Poor",1,1,0.699166666666667,9
7.9,4,4.3,6.2,8,7,"High","Medium","Adequate",1,1,0.6825,9
7,5,1.7,6.2,7,9,"High","Medium","Adequate",1,0,0.604166666666667,12
8.3,4,3.1,7.3,7,9,"High","High","Adequate",1,0,0.645833333333333,12
6.3,5,3.1,10,3,10,"High","Medium","Good",1,0,0.639166666666667,17
6.3,4,1.5,5,8,7,"High","Medium","Poor",1,1,0.5125,9
8.5,5,4.5,6.7,9,8,"High","High","Adequate",1,1,0.770833333333333,9
7.8,4,1.6,7.3,7,9,"High","Medium","Adequate",1,0,0.566666666666667,12
6.5,5,2,5.7,7,7,"High","Medium","Poor",1,0,0.6,10
9.6,5,5.4,7.6,9,7,"High","High","Adequate",1,1,0.845,8
7.7,4,3.6,8.4,6,10,"High","Medium","Good",1,0,0.646666666666667,14
8.5,4,1.8,8.7,6,10,"High","High","Good",1,0,0.598333333333333,14
7.2,4,1.9,8.9,5,10,"High","Medium","Good",1,0,0.559166666666667,15
7.8,4,4.5,7,6,8,"High","Medium","Adequate",1,0,0.6875,12
7,4,3,5.7,7,7,"High","Medium","Poor",1,0,0.598333333333333,10
9.5,5,4.4,4.5,10,6,"High","High","Poor",1,1,0.8,6
8,5,3.4,6.9,7,10,"High","High","Adequate",1,0,0.708333333333333,13
6.1,5,2.6,3.1,9,6,"High","Medium","Poor",1,1,0.611666666666667,7
7.4,4,3.7,7.9,6,10,"High","Medium","Adequate",1,0,0.640833333333333,14
6.9,5,2.1,10,1,10,"High","Medium","Good",1,0,0.6175,19
9.2,5,4.5,6.4,9,10,"High","High","Adequate",1,1,0.794166666666667,11
7.6,4,3.9,6.9,9,9,"High","Medium","Adequate",1,1,0.655833333333333,10
7.2,5,1.6,4.7,10,9,"High","Medium","Poor",1,1,0.606666666666667,9
7.3,5,3.3,9.6,5,10,"High","Medium","Good",1,0,0.680833333333333,15
9.8,4,2,7.1,7,9,"High","High","Adequate",1,0,0.65,12
7.8,5,3.9,6.4,8,7,"High","Medium","Adequate",1,1,0.7225,9
8.6,5,3.8,6.9,6,9,"High","High","Adequate",1,0,0.745,13
6.5,5,1.5,6.4,6,10,"High","Medium","Adequate",1,0,0.579166666666667,14
6.7,5,1.8,8.7,5,10,"High","Medium","Good",1,0,0.598333333333333,15
7.5,5,4.1,6.7,8,8,"High","Medium","Adequate",1,1,0.720833333333333,10
6.6,5,3.4,6.3,9,10,"High","Medium","Adequate",1,1,0.661666666666667,11
10.7,4,4,6.2,9,5,"High","High","Adequate",1,1,0.763333333333333,6
6.4,5,2.2,7.1,6,10,"High","Medium","Adequate",1,0,0.605,14
6.1,4,2.3,5.7,7,7,"High","Medium","Poor",1,0,0.539166666666667,10
7.5,4,3.6,8.3,6,10,"High","Medium","Good",1,0,0.64,14
9.1,4,4.1,7.9,7,7,"High","High","Adequate",1,0,0.714166666666667,10
8.1,5,2.9,7.5,7,9,"High","High","Adequate",1,0,0.690833333333333,12
8.4,4,4.7,7.5,7,7,"High","High","Adequate",1,0,0.715833333333333,10
6.2,4,1.8,9.3,3,10,"High","Medium","Good",1,0,0.521666666666667,17
8.3,4,4.8,7,9,10,"High","High","Adequate",1,1,0.716666666666667,11
7.2,5,2.4,6.9,5,10,"High","Medium","Adequate",1,0,0.64,15
7.6,5,2.6,9.1,4,10,"High","Medium","Good",1,0,0.661666666666667,16
8.5,4,2.1,8,8,10,"High","High","Good",1,1,0.610833333333333,12
6.4,4,3,6.4,5,9,"High","Medium","Adequate",1,0,0.578333333333333,14
8.1,4,1.9,8.7,6,10,"High","High","Good",1,0,0.589166666666667,14
8,4,4,9.9,4,10,"High","High","Good",1,0,0.673333333333333,16
6.8,4,3.5,10,3,10,"High","Medium","Good",1,0,0.6125,17
6.3,4,1.3,7.3,6,10,"High","Medium","Adequate",1,0,0.504166666666667,14
8.5,5,3.5,6,7,9,"High","High","Adequate",1,0,0.729166666666667,12
8,4,3.8,3.7,9,5,"High","High","Poor",1,1,0.665,6
8.9,4,2.8,9.5,5,10,"High","High","Good",1,0,0.653333333333333,15
6.9,5,3.4,6.8,9,9,"High","Medium","Adequate",1,1,0.671666666666667,10
8.2,5,3.5,5.6,7,6,"High","High","Poor",1,0,0.719166666666667,9
7.9,4,3.4,6.7,8,8,"High","Medium","Adequate",1,1,0.645,10
8.6,5,3.9,7.8,8,9,"High","High","Adequate",1,1,0.749166666666667,11
6.8,4,2.8,4.8,9,8,"High","Medium","Poor",1,1,0.583333333333333,9
8.2,5,2.4,6.6,9,10,"High","High","Adequate",1,1,0.673333333333333,11
6.1,5,2.6,7.8,6,10,"High","Medium","Adequate",1,0,0.611666666666667,14
8.2,5,4.8,7.6,10,8,"High","High","Adequate",1,1,0.773333333333333,8
6.6,5,1.4,6.3,7,8,"High","Medium","Adequate",1,0,0.578333333333333,11
7.4,5,2.6,9.1,4,10,"High","Medium","Good",1,0,0.655,16
7.7,4,3.8,6.9,10,9,"High","Medium","Adequate",1,1,0.655,9
7.1,4,2.5,10,4,10,"High","Medium","Good",1,0,0.580833333333333,16
6.8,4,1.6,3.7,9,7,"High","Medium","Poor",1,1,0.533333333333333,8
7.3,4,1.9,8.2,5,10,"High","Medium","Good",1,0,0.5625,15
7.4,4,4.1,6.8,8,9,"High","Medium","Adequate",1,1,0.6575,11
7.1,5,2.3,8,7,10,"High","Medium","Good",1,0,0.6325,13
7.2,5,3,6.1,9,8,"High","Medium","Adequate",1,1,0.665,9
7.8,4,3.9,5.8,9,8,"High","Medium","Poor",1,1,0.6625,9
8.6,5,3.2,8.2,6,10,"High","High","Good",1,0,0.72,14
7.2,5,4,8.3,7,10,"High","Medium","Good",1,0,0.706666666666667,13
