"screen_time_hours","social_media_platforms_used","hours_on_TikTok","sleep_hours","stress_level","mood_score","social_media_category","screen_time_category","sleep_quality","digital_intensity","mental_health_indicator","digital_habits_score","mental_health_score"
10.3,2,5.3,4.4,10,5,"Low","High","Poor",0,1,0.684166666666667,5
6.5,5,3.5,6.2,8,8,"High","Medium","Adequate",1,1,0.6625,10
5.5,5,1.8,3.4,10,5,"High","Medium","Poor",0,1,0.558333333333333,5
4.7,5,1,4.7,9,9,"High","Medium","Poor",0,1,0.498333333333333,10
7.5,1,2.3,6.4,8,8,"Low","Medium","Adequate",0,1,0.405833333333333,10
9.4,3,2.3,6.1,9,8,"Medium","High","Adequate",0,1,0.589166666666667,9
5.9,4,2.1,6.1,9,7,"High","Medium","Adequate",0,1,0.524166666666667,8
5.2,3,3.1,4.7,10,9,"Medium","Medium","Poor",0,1,0.4825,9
10.6,3,5.9,8.8,8,9,"Medium","High","Good",0,1,0.779166666666667,11
7,3,3.7,6.5,8,9,"Medium","Medium","Adequate",0,1,0.5675,11
8.2,5,2.3,6.2,8,8,"High","High","Adequate",1,1,0.669166666666667,10
11.5,4,5.6,6.7,9,7,"High","High","Adequate",1,1,0.856666666666667,8
6.4,4,1.9,6.3,8,10,"High","Medium","Adequate",1,1,0.5325,12
10.6,2,4.8,8.4,10,9,"Low","High","Good",0,1,0.673333333333333,9
10.6,1,5,6.8,10,6,"Low","High","Adequate",0,1,0.621666666666667,6
8.1,5,3.1,5.6,9,8,"High","High","Poor",1,1,0.699166666666667,9
7.9,4,4.3,6.2,8,7,"High","Medium","Adequate",1,1,0.6825,9
5.7,4,2.4,6.2,8,9,"High","Medium","Adequate",0,1,0.53,11
6.3,4,1.5,5,8,7,"High","Medium","Poor",1,1,0.5125,9
5.2,4,2.4,5.5,8,7,"High","Medium","Poor",0,1,0.513333333333333,9
4.1,4,1.8,5.5,9,8,"High","Medium","Poor",0,1,0.451666666666667,9
8.5,5,4.5,6.7,9,8,"High","High","Adequate",1,1,0.770833333333333,9
7,2,4,5.2,10,7,"Low","Medium","Poor",0,1,0.52,7
11.3,3,3.6,4.3,10,5,"Medium","High","Poor",0,1,0.706666666666667,5
5.7,2,2.5,5.4,8,9,"Low","Medium","Poor",0,1,0.414166666666667,11
6.7,2,2.8,5.7,9,7,"Low","Medium","Poor",0,1,0.46,8
9.6,5,5.4,7.6,9,7,"High","High","Adequate",1,1,0.845,8
6.3,3,2.2,6,8,10,"Medium","Medium","Adequate",0,1,0.481666666666667,12
2.9,3,1.3,4.9,8,10,"Medium","Low","Poor",0,1,0.330833333333333,12
7.1,2,2.8,5.2,10,8,"Low","Medium","Poor",0,1,0.473333333333333,8
6,2,2.5,5.1,8,6,"Low","Medium","Poor",0,1,0.424166666666667,8
8.6,1,3.8,5.7,8,8,"Low","High","Poor",0,1,0.505,10
8.3,2,5,5.6,10,5,"Low","High","Poor",0,1,0.605,5
7.8,3,3.4,7.5,8,10,"Medium","Medium","Adequate",0,1,0.581666666666667,12
8.8,2,3.1,6.7,9,8,"Low","High","Adequate",0,1,0.5425,9
9.5,5,4.4,4.5,10,6,"High","High","Poor",1,1,0.8,6
4,5,1.3,5.1,9,8,"High","Medium","Poor",0,1,0.4875,9
6.1,5,2.6,3.1,9,6,"High","Medium","Poor",1,1,0.611666666666667,7
7,1,3.3,3.5,10,5,"Low","Medium","Poor",0,1,0.430833333333333,5
6,5,3.5,4.4,10,5,"High","Medium","Poor",0,1,0.645833333333333,5
5,5,2.2,5.1,8,8,"High","Medium","Poor",0,1,0.558333333333333,10
4.7,2,1.9,6.4,8,8,"Low","Medium","Adequate",0,1,0.355833333333333,10
10.3,2,6.1,3.8,10,5,"Low","High","Poor",0,1,0.7175,5
10.9,2,5.6,4.9,10,3,"Low","High","Poor",0,1,0.716666666666667,3
8.8,3,2.4,4.5,10,6,"Medium","High","Poor",0,1,0.573333333333333,6
5.5,2,2,5.7,8,8,"Low","Medium","Poor",0,1,0.386666666666667,10
9.2,5,4.5,6.4,9,10,"High","High","Adequate",1,1,0.794166666666667,11
7.6,4,3.9,6.9,9,9,"High","Medium","Adequate",1,1,0.655833333333333,10
7.2,5,1.6,4.7,10,9,"High","Medium","Poor",1,1,0.606666666666667,9
9.2,3,2.4,4,10,4,"Medium","High","Poor",0,1,0.586666666666667,4
4.9,4,1.5,5.4,8,9,"High","Medium","Poor",0,1,0.465833333333333,11
7.8,5,3.9,6.4,8,7,"High","Medium","Adequate",1,1,0.7225,9
7.7,1,4.3,8.1,8,10,"Low","Medium","Good",0,1,0.495833333333333,12
9.5,2,2.6,4.7,10,5,"Low","High","Poor",0,1,0.545,5
7.9,3,4.5,4.5,10,6,"Medium","Medium","Poor",0,1,0.630833333333333,6
7.5,5,4.1,6.7,8,8,"High","Medium","Adequate",1,1,0.720833333333333,10
9.1,1,2.6,4.9,9,5,"Low","High","Poor",0,1,0.471666666666667,6
6.6,5,3.4,6.3,9,10,"High","Medium","Adequate",1,1,0.661666666666667,11
10.7,4,4,6.2,9,5,"High","High","Adequate",1,1,0.763333333333333,6
7.9,1,4.1,6.2,8,7,"Low","Medium","Adequate",0,1,0.494166666666667,9
8.7,3,2.5,7.2,10,9,"Medium","High","Adequate",0,1,0.574166666666667,9
7.7,3,4,6,9,9,"Medium","Medium","Adequate",0,1,0.603333333333333,10
3.5,2,2,5.3,8,9,"Low","Low","Poor",0,1,0.32,11
5.9,5,1.7,3.9,10,7,"High","Medium","Poor",0,1,0.5675,7
8.8,3,2.6,5.1,10,6,"Medium","High","Poor",0,1,0.581666666666667,6
8.9,1,3.3,7.6,8,10,"Low","High","Adequate",0,1,0.494166666666667,12
8.3,4,4.8,7,9,10,"High","High","Adequate",1,1,0.716666666666667,11
5.1,2,2.7,4.9,8,9,"Low","Medium","Poor",0,1,0.4025,11
6,2,1.2,4.7,8,7,"Low","Medium","Poor",0,1,0.37,9
7.1,1,2,3.4,10,6,"Low","Medium","Poor",0,1,0.38,6
9.8,3,4,7.4,10,7,"Medium","High","Adequate",0,1,0.673333333333333,7
6.4,3,3.3,6.7,8,9,"Medium","Medium","Adequate",0,1,0.530833333333333,11
8.5,4,2.1,8,8,10,"High","High","Good",1,1,0.610833333333333,12
4.5,3,2.4,5.1,10,8,"Medium","Medium","Poor",0,1,0.43,8
7.5,1,4,5.1,10,6,"Low","Medium","Poor",0,1,0.476666666666667,6
4.8,5,1.4,5.1,8,9,"High","Medium","Poor",0,1,0.518333333333333,11
7.4,2,3.5,6.5,9,9,"Low","Medium","Adequate",0,1,0.5125,10
5.4,4,1.9,5,9,10,"High","Medium","Poor",0,1,0.499166666666667,11
7.6,1,2.6,7.2,8,9,"Low","Medium","Adequate",0,1,0.421666666666667,11
9,3,2,3.5,10,6,"Medium","High","Poor",0,1,0.563333333333333,6
8,4,3.8,3.7,9,5,"High","High","Poor",1,1,0.665,6
2.6,3,1.5,4.7,8,8,"Medium","Low","Poor",0,1,0.329166666666667,10
2.2,2,0.9,5,8,8,"Low","Low","Poor",0,1,0.230833333333333,10
6.8,3,3.6,5.9,8,8,"Medium","Medium","Poor",0,1,0.556666666666667,10
7.4,2,3.7,5.4,9,7,"Low","Medium","Poor",0,1,0.520833333333333,8
7.9,1,3,5.2,10,8,"Low","Medium","Poor",0,1,0.448333333333333,8
5.7,2,2,6,8,10,"Low","Medium","Adequate",0,1,0.393333333333333,12
8.3,1,1.9,5.1,9,8,"Low","High","Poor",0,1,0.415833333333333,9
6.9,5,3.4,6.8,9,9,"High","Medium","Adequate",1,1,0.671666666666667,10
5.7,5,3.3,3.4,10,6,"High","Medium","Poor",0,1,0.6275,6
5.1,5,2.4,5.7,8,9,"High","Medium","Poor",0,1,0.57,11
7.9,4,3.4,6.7,8,8,"High","Medium","Adequate",1,1,0.645,10
8.6,5,3.9,7.8,8,9,"High","High","Adequate",1,1,0.749166666666667,11
5.7,2,2,5.9,8,10,"Low","Medium","Poor",0,1,0.393333333333333,12
6.8,4,2.8,4.8,9,8,"High","Medium","Poor",1,1,0.583333333333333,9
8.2,5,2.4,6.6,9,10,"High","High","Adequate",1,1,0.673333333333333,11
6,1,2.2,5,8,8,"Low","Medium","Poor",0,1,0.351666666666667,10
8.2,5,4.8,7.6,10,8,"High","High","Adequate",1,1,0.773333333333333,8
